ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE,ECube2,sumE
6,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40159,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31409,0.204683,1.80164
12,16,1,0,0,0,0,0.442804,0,0,0,0,0,0,0,0,1.20731,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24302,0.442804,1.65011
2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24602,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62158,0,3.24602
11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86781,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05443,0,1.86781
5,10,6,0,0,0,0,1.08289,0,0,0,0,0,0,0,0,2.9706,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38354,1.08289,4.19204
13,16,7,0,0,0,0,0,0,0,0,0,0,0.12873,0,0,0.805243,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93959,0.12873,0.933973
13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34348,0,0,0.195539,0,0,0,0.388827,0,0,0,0,0,0,1.21253,0.388827,1.92785
4,10,7,0,0,0,0,0,0,0,0,0,0,0,0.281363,0,2.22712,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15614,0.281363,2.74107
5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22381,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00092,0.276367,1.681
12,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04355,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73761,0.352456,2.49848
7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0.285123,2.46455,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44645,0.285123,2.74967
