ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE
7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19029,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98494
9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536553
14,14,7,0.219279,0,0,0,0,0,0,0,0,0,0,0,0,0.772331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795659
12,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85315,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61295
4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4891,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63206
15,9,6,0,0,0,0,0.217826,0,0,0,0,0,0,0,0,1.65308,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7132
8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41552,0,0,0,0,0,0,0,0,2.01444,0,0,0,0,4.16885
2,13,6,0,0,0,0,0,0,0,0,0,0,0.422189,0,0,2.24298,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58712
2,12,2,0.181659,0,0,0,0,0,0,0,0,0,0,0,0,2.09949,0,0,0.952361,0,0,0,0,0,0,0,0,0,0,3.07559
4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65013,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22796
9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41914,0,0,0,0,0,0,0,0,0.930067,0,0,0,0,2.30663
3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71186,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14468
12,9,1,0,0,0,0,0.153398,0,0,0,0,0,0,0,0,2.94526,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02512
2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512762
7,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65506,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4476
6,3,6,0,0,0,0,0,0,0,0,0,0,0.345252,0,0,1.77503,0,0,0,0,0,0,0,0,0.229336,0,0,0,0,2.13734
9,8,3,0,0,0,0,0,0,0,0,0,0,2.56157,0,0,2.79789,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03392
7,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44333,0.234487,0,0,0,0,0,0,0,0,0,0,0,0,3.54123
16,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27774,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45879
5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5913,0.180645,0,0,0,0,0,0,0,0,0,0,0,0,5.04116
6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462056
13,4,7,0,0,0,0,0.554898,0,0,0.189148,0,0,0,0,0,0.93706,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66783
8,12,6,0,0,0,0,2.31977,0,0,0,0,0,0,0,0,2.93973,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84185
8,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707996,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64393
15,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77335,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08598
2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83653,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91554
1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32913,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54865
8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89254,0,0,0.421842,0,0,0,0,0,0,0,0,0,0,1.80032
14,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86378,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89143
6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902099,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3313
9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97325,0,0,0,0,0,0,0,0,0,0,0.195312,0,0,2.15764
1,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12832,0,0,0,0,0,0,0,0,0.666154,0,0,0,0,4.1813
9,5,8,0,0,0,0,0,0,0,0,0,0.107025,0,0,0,4.96811,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27274
3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159464
